Order,PID,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,x1stFlrSF,x2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,x3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,526301100,3.044522437723423,RL,4.955827057601261,10.366309203003638,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,BrkFace,Plywood,Stone,4.727387818712341,TA,TA,CBlock,TA,Gd,Gd,BLQ,6.461468176353717,Unf,0.0,6.091309882077698,6.985641817639208,GasA,Fa,Y,SBrkr,7.4127640174265625,0.0,0.0,7.4127640174265625,1,0,1,0,3,1,TA,7,Typ,2,Gd,Attchd,1960,Fin,2,528,TA,TA,P,5.351858133476067,4.143134726391533,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,5,2010,WD ,Normal,215000
2,526350040,3.044522437723423,RH,4.394449154672439,9.360741172643708,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,6,1961,1961,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,6.150602768446279,LwQ,4.976733742420574,5.602118820879701,6.78332520060396,GasA,TA,Y,SBrkr,6.799055862058796,0.0,0.0,6.799055862058796,0,0,1,0,2,1,TA,5,Typ,0,NA,Attchd,1961,Unf,1,730,TA,TA,Y,4.948759890378168,0.0,0.0,0.0,4.795790545596741,0.0,NA,MnPrv,NA,0.0,6,2010,WD ,Normal,105000
3,526351010,3.044522437723423,RL,4.406719247264253,9.565774546478782,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,4.6913478822291435,TA,TA,CBlock,TA,TA,No,ALQ,6.828712071641684,Unf,0.0,6.008813185442595,7.1929342212158,GasA,TA,Y,SBrkr,7.1929342212158,0.0,0.0,7.1929342212158,0,0,1,1,3,1,Gd,6,Typ,0,NA,Attchd,1958,Unf,1,312,TA,TA,Y,5.976350909297934,3.6109179126442243,0.0,0.0,0.0,0.0,NA,NA,Gar2,9.433563920090563,6,2010,WD ,Normal,172000
4,526353030,3.044522437723423,RL,4.543294782270004,9.320180837655714,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,1968,1968,Hip,CompShg,BrkFace,BrkFace,None,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,6.97166860472579,Unf,0.0,6.952728644624869,7.65491704784832,GasA,Ex,Y,SBrkr,7.65491704784832,0.0,0.0,7.65491704784832,1,0,2,1,3,1,Ex,8,Typ,2,TA,Attchd,1968,Fin,2,522,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,4,2010,WD ,Normal,244000
5,527105010,4.110873864173311,RL,4.31748811353631,9.534667728624708,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,6.674561391814426,Unf,0.0,4.927253685157205,6.834108738813838,GasA,Gd,Y,SBrkr,6.834108738813838,6.553933404025811,0.0,7.396335293800808,0,0,2,1,3,1,TA,6,Typ,1,TA,Attchd,1997,Fin,2,482,TA,TA,Y,5.3612921657094255,3.5553480614894135,0.0,0.0,0.0,0.0,NA,MnPrv,NA,0.0,3,2010,WD ,Normal,189900
6,527105030,4.110873864173311,RL,4.3694478524670215,9.208238163884312,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,3.044522437723423,TA,TA,PConc,TA,TA,No,GLQ,6.401917196727186,Unf,0.0,5.783825182329737,6.831953565565855,GasA,Ex,Y,SBrkr,6.831953565565855,6.520621127558696,0.0,7.380879035564116,0,0,2,1,3,1,Gd,7,Typ,1,Gd,Attchd,1998,Fin,2,470,TA,TA,Y,5.8888779583328805,3.6109179126442243,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,6,2010,WD ,Normal,195500
7,527127150,4.795790545596741,RL,3.7376696182833684,8.501267040865978,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2001,2001,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,6.424869023905388,Unf,0.0,6.583409222158765,7.199678345691172,GasA,Ex,Y,SBrkr,7.199678345691172,0.0,0.0,7.199678345691172,1,0,2,0,2,1,Gd,6,Typ,0,NA,Attchd,2001,Fin,2,582,TA,TA,Y,0.0,0.0,5.14166355650266,0.0,0.0,0.0,NA,NA,NA,0.0,4,2010,WD ,Normal,213500
8,527145080,4.795790545596741,RL,3.784189633918261,8.518392471991719,Pave,NA,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,Gd,TA,No,ALQ,5.575949103146316,Unf,0.0,6.925595197110468,7.155396301896734,GasA,Ex,Y,SBrkr,7.155396301896734,0.0,0.0,7.155396301896734,0,0,2,0,2,1,Gd,5,Typ,0,NA,Attchd,1992,RFn,2,506,TA,TA,Y,0.0,4.418840607796598,0.0,0.0,4.976733742420574,0.0,NA,NA,NA,0.0,1,2010,WD ,Normal,191500
9,527146030,4.795790545596741,RL,3.6888794541139363,8.592300663903043,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,7.074116816197362,Unf,0.0,6.030685260261263,7.3752557780097545,GasA,Ex,Y,SBrkr,7.388327859577107,0.0,0.0,7.388327859577107,1,0,2,0,2,1,Gd,5,Typ,1,TA,Attchd,1995,RFn,2,608,TA,TA,Y,5.472270673671475,5.030437921392435,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,3,2010,WD ,Normal,236500
10,527162130,4.110873864173311,RL,4.110873864173311,8.922791623969637,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,6.902742737158593,6.902742737158593,GasA,Gd,Y,SBrkr,6.9363427358340495,6.655440350367647,0.0,7.498315870766981,0,0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,1999,Fin,2,442,TA,TA,Y,4.948759890378168,4.110873864173311,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,6,2010,WD ,Normal,189000
